PlanetPolarity,buy,sell,daysN,BuyDays%,SellDays%
CE_AIR,1178,1064,2242,0.53,0.47
CE_EAR,1320,1143,2463,0.54,0.46
CE_FIR,1275,1137,2412,0.53,0.47
CE_WAT,1252,1060,2312,0.54,0.46
CH_AIR,1588,1281,2869,0.55,0.45
CH_EAR,760,730,1490,0.51,0.49
CH_FIR,940,873,1813,0.52,0.48
CH_WAT,1737,1520,3257,0.53,0.47
EM_AIR,1419,1244,2663,0.53,0.47
EM_EAR,1142,1046,2188,0.52,0.48
EM_FIR,1479,1292,2771,0.53,0.47
EM_WAT,985,822,1807,0.55,0.45
ES_AIR,972,839,1811,0.54,0.46
ES_EAR,1359,1165,2524,0.54,0.46
ES_FIR,1131,1023,2154,0.53,0.47
ES_WAT,1563,1377,2940,0.53,0.47
JN_AIR,1333,1174,2507,0.53,0.47
JN_EAR,1249,1032,2281,0.55,0.45
JN_FIR,1284,1114,2398,0.54,0.46
JN_WAT,1159,1084,2243,0.52,0.48
JU_AIR,1307,1057,2364,0.55,0.45
JU_EAR,1270,1221,2491,0.51,0.49
JU_FIR,1206,1023,2229,0.54,0.46
JU_WAT,1242,1103,2345,0.53,0.47
MA_AIR,1213,1040,2253,0.54,0.46
MA_EAR,1274,1064,2338,0.54,0.46
MA_FIR,1282,1161,2443,0.52,0.48
MA_WAT,1256,1139,2395,0.52,0.48
ME_AIR,1167,1140,2307,0.51,0.49
ME_EAR,1250,1018,2268,0.55,0.45
ME_FIR,1301,1092,2393,0.54,0.46
ME_WAT,1307,1154,2461,0.53,0.47
MO_AIR,1280,1078,2358,0.54,0.46
MO_EAR,1277,1083,2360,0.54,0.46
MO_FIR,1218,1138,2356,0.52,0.48
MO_WAT,1250,1105,2355,0.53,0.47
NE_AIR,1768,1612,3380,0.52,0.48
NE_EAR,1936,1651,3587,0.54,0.46
NE_FIR,73,45,118,0.62,0.38
NE_WAT,1248,1096,2344,0.53,0.47
NN_AIR,1206,1115,2321,0.52,0.48
NN_EAR,1287,1082,2369,0.54,0.46
NN_FIR,1291,1077,2368,0.55,0.45
NN_WAT,1241,1130,2371,0.52,0.48
PA_AIR,1317,1162,2479,0.53,0.47
PA_EAR,1188,1087,2275,0.52,0.48
PA_FIR,1167,1019,2186,0.53,0.47
PA_WAT,1353,1136,2489,0.54,0.46
PH_AIR,769,645,1414,0.54,0.46
PH_EAR,1072,886,1958,0.55,0.45
PH_FIR,2171,1926,4097,0.53,0.47
PH_WAT,1013,947,1960,0.52,0.48
PL_AIR,37,35,72,0.51,0.49
PL_EAR,1702,1454,3156,0.54,0.46
PL_FIR,1701,1564,3265,0.52,0.48
PL_WAT,1585,1351,2936,0.54,0.46
SA_AIR,1074,1007,2081,0.52,0.48
SA_EAR,1329,1232,2561,0.52,0.48
SA_FIR,1406,1138,2544,0.55,0.45
SA_WAT,1216,1027,2243,0.54,0.46
SN_AIR,1291,1077,2368,0.55,0.45
SN_EAR,1241,1130,2371,0.52,0.48
SN_FIR,1206,1115,2321,0.52,0.48
SN_WAT,1287,1082,2369,0.54,0.46
SU_AIR,1267,1127,2394,0.53,0.47
SU_EAR,1238,1016,2254,0.55,0.45
SU_FIR,1266,1104,2370,0.53,0.47
SU_WAT,1254,1157,2411,0.52,0.48
UR_AIR,995,936,1931,0.52,0.48
UR_EAR,1294,1175,2469,0.52,0.48
UR_FIR,1725,1416,3141,0.55,0.45
UR_WAT,1011,877,1888,0.54,0.46
VE_AIR,1285,1114,2399,0.54,0.46
VE_EAR,1205,1059,2264,0.53,0.47
VE_FIR,1337,1124,2461,0.54,0.46
VE_WAT,1198,1107,2305,0.52,0.48
VS_AIR,1234,1072,2306,0.54,0.46
VS_EAR,1230,1176,2406,0.51,0.49
VS_FIR,1321,1094,2415,0.55,0.45
VS_WAT,1240,1062,2302,0.54,0.46
