PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,2271,1945,4216,0.54,0.46
CE_FIX,2228,1987,4215,0.53,0.47
CE_MUT,2453,1994,4447,0.55,0.45
CH_CAR,2348,2088,4436,0.53,0.47
CH_FIX,2199,1939,4138,0.53,0.47
CH_MUT,2405,1899,4304,0.56,0.44
EM_CAR,2291,1885,4176,0.55,0.45
EM_FIX,2381,2002,4383,0.54,0.46
EM_MUT,2280,2039,4319,0.53,0.47
ES_CAR,2445,2150,4595,0.53,0.47
ES_FIX,2193,1801,3994,0.55,0.45
ES_MUT,2314,1975,4289,0.54,0.46
JN_CAR,2349,2021,4370,0.54,0.46
JN_FIX,2364,1999,4363,0.54,0.46
JN_MUT,2239,1906,4145,0.54,0.46
JU_CAR,2304,2018,4322,0.53,0.47
JU_FIX,2295,1976,4271,0.54,0.46
JU_MUT,2353,1932,4285,0.55,0.45
MA_CAR,2384,1982,4366,0.55,0.45
MA_FIX,2295,2029,4324,0.53,0.47
MA_MUT,2273,1915,4188,0.54,0.46
ME_CAR,2307,1982,4289,0.54,0.46
ME_FIX,2385,1947,4332,0.55,0.45
ME_MUT,2260,1997,4257,0.53,0.47
MO_CAR,2320,1982,4302,0.54,0.46
MO_FIX,2361,1935,4296,0.55,0.45
MO_MUT,2271,2009,4280,0.53,0.47
NE_CAR,1950,1558,3508,0.56,0.44
NE_FIX,1866,1641,3507,0.53,0.47
NE_MUT,3136,2727,5863,0.53,0.47
NN_CAR,2318,1981,4299,0.54,0.46
NN_FIX,2365,1938,4303,0.55,0.45
NN_MUT,2269,2007,4276,0.53,0.47
PA_CAR,2282,1919,4201,0.54,0.46
PA_FIX,2388,1985,4373,0.55,0.45
PA_MUT,2282,2022,4304,0.53,0.47
PH_CAR,1633,1382,3015,0.54,0.46
PH_FIX,1648,1360,3008,0.55,0.45
PH_MUT,3671,3184,6855,0.54,0.46
PL_CAR,3354,2854,6208,0.54,0.46
PL_FIX,1589,1314,2903,0.55,0.45
PL_MUT,2009,1758,3767,0.53,0.47
SA_CAR,2378,1980,4358,0.55,0.45
SA_FIX,2276,1962,4238,0.54,0.46
SA_MUT,2298,1984,4282,0.54,0.46
SN_CAR,2318,1981,4299,0.54,0.46
SN_FIX,2365,1938,4303,0.55,0.45
SN_MUT,2269,2007,4276,0.53,0.47
SU_CAR,2287,1940,4227,0.54,0.46
SU_FIX,2370,2018,4388,0.54,0.46
SU_MUT,2295,1968,4263,0.54,0.46
UR_CAR,2734,2350,5084,0.54,0.46
UR_FIX,2252,1920,4172,0.54,0.46
UR_MUT,1966,1656,3622,0.54,0.46
VE_CAR,2320,1962,4282,0.54,0.46
VE_FIX,2335,2036,4371,0.53,0.47
VE_MUT,2297,1928,4225,0.54,0.46
VS_CAR,2277,2017,4294,0.53,0.47
VS_FIX,2277,1995,4272,0.53,0.47
VS_MUT,2398,1914,4312,0.56,0.44
